type,data,score
train,プレミアムビール云々という宣伝文句に釣られてケース買いしたが、ただ甘いだけのビールテイスト飲料。もしかしたら、これまで飲んだ第3の中で一番不味いかも。Asahiはスーパードライ以外さんざんガッカリさせられてきたが、またしても裏切られた。プレミアムを引き合いに出すなんて、あまりに失礼すぎる,-35.5
train,このリーズナブルな価格に反して、今までに飲んだ発泡酒の中でも個人的な感想では美味しさでかなり上位に入ります。普段は麒◯淡麗、もしくはスーパードライ派なのですが安かったので試してみようと思い購入してみましたがこれがとても呑みやすく、違う意味での当たりでした。分かりにくいかも知れませんが、とても口当たりが良く味を例えるなら麦の香りがとても強くまるで何処かの地ビールを生ビールで飲んでいる様な今までには無い斬新な美味しさです。（※ただし、少し甘めで味の厚みというか深みはビール程ではないがバランスはよく出来ていてる）コスパも非常に優れていますし今飲んでいる発泡酒などに、もし不満があるのなら気分転換に一度お試しされてみるのも良いかと思います。味はあくまで好みの問題ではありますが一度は試してみる価値はある程に斬新で完成度の高い味わいの発泡酒だと思いました。長くなりましたが参考になれれば幸いです。,31.5
train,好みはあるかも知れませんが、こちらは今までの人生で、1番美味しいです。RICHという名前は正解、クセの無い上品な味、かと言って6%で美味しく酔う。予約して良かったです、パッケージも高級で気品もあり、いかにも美味しそうです‼️,25.5
train,こちらのレビューを見ていると賛否両論があるようですが、第３のビールと発泡酒の中ではアサヒ ザ・リッチ と本麒麟がうちではベストワンです。アサヒ ザ・リッチの方がホップの苦味を強く感じます。どちらも価格は安いのに味は普通のビールに比べて劣るところはないと思います。,3
train,あれから何度か購入したので詳しくレビューし直しです。麦とホップのみで作られている他の物と違い、米、コーンスターチなど、ビールと関係ない異物と言える物が原料に入っているので、本当に美味しいの？という素朴な感じで購入。なぜかとても飲みやすく雑味を感じないもビール本来のおいしさは皆無。普通、異物系が入って誤魔化してるのは雑味がひどくまずいのに、なぜかこれは及第点に到達で飲みやすい感じ。軽い感じで雑味もなく口当たりも良くとても飲みやすいため、飲みすぎてしまうのではと思います。普段購入の物より香りも味も泡の滑らかさもまったくありません。軽く、口当たりは良く、雑味はなし、泡はダメダメですぐ消えるのとなめらかさは無い。ビール特有の苦さや美味しさや香りは皆無です。何か別の飲料という感じ。他社のプレミアムビールがライバル？とんでもない！これはビールをあまり知らない人が絶賛するタイプの無難なものでそもそもビールですらない。第3のビールとしても特に抜きん出てるわけでもない代わりに、大きな弱点もない。特徴のない飲みやすいだけのもの。泡の雑さがひどく、泡に滑らかは0。香りも0、味もあまりしない代わりに飲みやすい。そんなものです。あらゆる物をテイストしてきた私の正直な感想。星3が妥当。,37
train,ライバルはプレミアム？とてもそうは思えない味でした。金麦ラガーとか本麒麟等、美味しい第3のビールは沢山あります。ですが、この商品には失望させられました。,-2
train,ライバルはプレミアムビールと言ってしまってますが、やり過ぎではと思いました。御社の美味しいビール「豊醸」と同格なの？せっかく美味しいビールを作ったのに、こんな売り方で良いのかな？スーパードライより上だと言っているように感じられます。だったら、スーパードライを同価格に値下げして下さい。私はスーパードライを買います。レベルを上げすげて、期待が大きくて自爆しそう。普通に売ってたら、そこそこ売れてたと思いました。追記、BPOのTVCMを見るたびに、この商品が、頭に出て来ます。追記、BPOは間違いました。ＪＡＲＯです。ごめんなさい。,3
train,日本酒・洋酒・ビールもなんでも好きな酒好きです。元々瓶ビールをガンガン飲んでたのですが、ふとしたきっかけで発泡酒を飲んでハマりました。ガツンとくるビールの深みを探究しないのであれば十分楽しめる逸品です。■いいところ：・喉を潤すためであれば十分な味、喉越し、爽快感。・缶のデザインが良い。見た目が安っぽくない。一見すると少し高価なビールのように見える（主観。・缶の手触りが良い。いい意味ですこしざらつきがあって持ちやすい。・見た目、味、爽快感を満たすための値段とコスパが良すぎる。ジュース買うのと同等。■こんな人におすすめ：・ビール好きだけどそんなにお酒が強くない人。・2杯目に強めのお酒を用意するのが常で、1杯目は軽く喉を潤したい人。・とにかく安く喉を潤したい人。,28
train,クラフトビールのお店を探して一人で飲みに行くほどビールが好きです。いわゆる「第３のビール」は、「ビールの味に近いかどうか」というよりも、飲んだ後に生臭さを感じるため、敬遠していました。一番売れているという赤い色のやつもだめでした。ところがこの製品を試してみたところ、全く生臭さを感じず、また本物のビールと遜色のない深い麦の味わいがしました。スーパーで１本買って試した直後に、Amazonでケース買いしてしまいました。今２日に１本くらいのペースでケース半分ほど飲みましたが、まだ飲み飽きません。この製品はアタリでした。ビール系飲料は新商品が出てもなかなか定着せずすぐ消えて言ってしまうことが多い市場です。是非市場の新陳代謝に飲み込まれず、何年も持ちこたえて欲しい製品です。,5
train,今までキリンの「濃い味デラックス」が到達点であり濃DXが終売後は「本麒麟」がこのジャンルの最高点と思っていた。がコレである。このコク、飲みごたえ、深さ、炭酸の強さ。初めて飲んだとき後味のわずかな酸味に疑問を感じたが今では気にならず。香りに関しては及第点だが今後2.3年は本商品を超えるものは出ないのではないかというぐらい完璧です。もはやビール（キリンラガー）の出る幕はなくなった。この界隈はキリンの独壇場と思ってたが意外とやるじゃんアサヒ（だが相変わらずスーパードライは嫌い）,3
