type,data,score
train,ですが、磨き三割九分に慣れている私にとって５０だとコクと甘みが足りません。勿論そこらの安い日本酒よりも格段に美味しいですが、味わって飲むなら磨き三割九分が良いです。それほど高くないですから是非磨き三割九分をお試し下さい。,-1
train,Amazonで購入すると、『どんな保管方法をしたらこうなるんだ？』ってくらい、酸味がキツイ。初めて一本だけ購入した時は、ホントに美味しかった。けど、リピで三本購入した物は、全部酸味がキツくて、とても呑めた物じゃない。他の飲料(ペットボトルのコーヒー)も、スーパー等で購入した物とは雲泥の差で不味かった。食料品や飲料水はキチンと温度管理のされている店舗で購入することをお勧めします。,-12.5
train,メーカーの製造ミスのおかげで薄い薄い商品をつかまされました。自己回収を始めたのが購入から2ヶ月程経っていたため、交換の際に必要だという瓶は捨てた後です。・・・どんだけゆっくり呑んだら2ヶ月もつんだよ！二度と買いません。,-5
train,コクのある美味しい日本酒です。被災してしまったせいか価格が高騰してます。復旧して元の価格に戻ったら是非また購入したいです。,5
train,はっきり言って、日本酒というよりワインに近い。大山や八海山や船中八策などが好きな私にはちょっと無理かも知れない。女性が好きなフルーティーな味です。ですので星2つで,2
train,一昔前はプレミアム日本酒だったのが、いつの間にかアマゾンで定価で買えるなんて。日本酒に苦手意識のある人でも飲みやすいお酒です。純米大吟醸らしく、芳醇な香りで甘みがある中にも米の旨みが感じられます。獺祭にはこれより上のクラス（精米歩合）のものが複数ありますが、結局はこの50に戻ってきています。まあ値段の都合ですが。,7
train,冷でチビチビと口に含むように呑むと、こんなに美味い酒があったのか！と愕然とするほど美味しかった。,6
train,前から米の香りと旨味を感じられて飲みやすい日本酒を探していたのですが、これは正に探していた日本酒でした。 米のジュースと言っても過言ではないかも知れません。初めて買った時は近所の酒屋でプレミア価格(ほぼ倍額)で買ってしまい、こちらで見つけた時にはかなりのショックを受けました...年末の同窓会用に購入したのですが、普段はあまり飲まない人達が美味しい美味しいと飲んでしまい、自分の分が残らなかったのでまた購入したいと思います。日本酒が苦手な方は一度飲んでみては如何でしょうか？,9
train,"普通、吟醸香はメロンのような甘い香りですが、獺祭はそれに加えて酸味のある柑橘系のような香りがあり、バランスがとても良いです。余韻も長く素晴らしい。高級ワインに通ずる力を持ちながら、量にするとワインボトル1本あたり1,000円強の価格で買えてしまうのだから凄い。海外では関税等で、3倍・4倍の価格でしか買えないので、日本に住むメリットの一つだと思います。",19.5
train,量販店では、５千円以上する物が定価でしかも運賃込みで買えて、とても良かったです。今まで飲んだ吟醸酒では、ユキグニモノガタリがとても美味しかったのですが、こちらもとても美味しくいただきました。,21
train,とにかくフルーティーというのがぴったり。日本酒とは思えないような味わいで、本当に旨いの一言！これなら日本酒の香りが苦手な人でも飲めるのではないか？と思う。価格はそれなりにするのかもしれないけど、一度は試してみても損はしないかな。～追記～リコールとの連絡がアマゾンからきたのだが、アルコール度数の異なる商品が混ざっていたらしい。しかし購入から２か月近くも経ってから空き瓶出せと言われても普通取っておかないでしょうに。期間に販売した疑わしいものは全て対応として正規品を届ける、とかすれば良いのに、、と正直思い、この対応で星１つ減点させてもらいました。果たして、、美味しいと思って飲んだものはアルコール度数が違ったのかどうか。。。もう一度自分で買って確かめろ、ということでしょう。,6
